Comune;Provincia;Regione;Nome;Identificatore in OpenStreetMap;Anno inserimento;Data e ora inserimento;Longitudine;Latitudine
CAPALBIO;GROSSETO;Toscana;;3981238526;2016;2016-02-01T06:27:39Z;11.3226914999999;42.4148776999999
CAPALBIO;GROSSETO;Toscana;;712000320;2015;2015-05-10T10:48:30Z;11.4219097;42.454607
CASTEL DEL PIANO;GROSSETO;Toscana;;619247159;2011;2011-08-09T08:22:22Z;11.6043366;42.8804601
CASTELL'AZZARA;GROSSETO;Toscana;;1329745041;2011;2011-06-18T15:46:08Z;11.6667986;42.7808174999999
CASTELL'AZZARA;GROSSETO;Toscana;;1329745066;2011;2011-06-18T15:46:09Z;11.6741156;42.7806049
CASTIGLIONE DELLA PESCAIA;GROSSETO;Toscana;;1323358584;2011;2011-06-13T09:25:38Z;10.824356;42.7897340999999
CASTIGLIONE DELLA PESCAIA;GROSSETO;Toscana;;1587186583;2012;2012-01-12T16:22:32Z;10.8474558;42.7717746
CASTIGLIONE DELLA PESCAIA;GROSSETO;Toscana;;1587186596;2012;2012-01-12T16:22:32Z;10.8513158999999;42.7696009
CASTIGLIONE DELLA PESCAIA;GROSSETO;Toscana;;1629498653;2012;2012-02-12T10:46:14Z;10.7423876;42.8005709999999
CASTIGLIONE DELLA PESCAIA;GROSSETO;Toscana;;1958499520;2012;2012-10-11T13:39:52Z;10.7396259;42.8053953
CASTIGLIONE DELLA PESCAIA;GROSSETO;Toscana;;2406303264;2013;2013-08-03T19:07:51Z;10.8961679999999;42.7623962999999
CASTIGLIONE DELLA PESCAIA;GROSSETO;Toscana;;3744455214;2015;2015-09-15T17:56:01Z;10.7741945;42.8273001
CASTIGLIONE DELLA PESCAIA;GROSSETO;Toscana;;690075856;2010;2010-05-04T22:31:04Z;10.8754009;42.7637738
CASTIGLIONE DELLA PESCAIA;GROSSETO;Toscana;;729920931;2010;2010-05-11T19:49:17Z;10.8229731;42.8207972
CASTIGLIONE DELLA PESCAIA;GROSSETO;Toscana;;731354490;2010;2010-05-12T19:55:11Z;10.7393728999999;42.8020400999999
CASTIGLIONE DELLA PESCAIA;GROSSETO;Toscana;;731354501;2010;2010-05-12T19:55:10Z;10.7394272999999;42.8033191999999
CASTIGLIONE DELLA PESCAIA;GROSSETO;Toscana;;731354538;2010;2010-05-12T19:55:09Z;10.7386292;42.8020933999999
CASTIGLIONE DELLA PESCAIA;GROSSETO;Toscana;;731354884;2010;2010-05-12T19:55:11Z;10.7396411;42.8030458
CASTIGLIONE DELLA PESCAIA;GROSSETO;Toscana;;731391579;2010;2010-05-12T19:55:00Z;10.7400944;42.8054445
CASTIGLIONE DELLA PESCAIA;GROSSETO;Toscana;;732237142;2010;2010-05-13T14:10:36Z;10.9894555;42.8448209
CASTIGLIONE DELLA PESCAIA;GROSSETO;Toscana;;980048965;2010;2010-11-07T04:54:53Z;10.8854892;42.7691354999999
CASTIGLIONE DELLA PESCAIA;GROSSETO;Toscana;Piazza Garibaldi;722693643;2010;2010-05-05T17:52:25Z;10.8823485;42.7633298
CIVITELLA PAGANICO;GROSSETO;Toscana;;1037349678;2010;2010-12-13T16:25:26Z;11.2918194;43.0519309
CIVITELLA PAGANICO;GROSSETO;Toscana;;1037350248;2010;2010-12-13T16:25:53Z;11.2908124;43.0559289999999
CIVITELLA PAGANICO;GROSSETO;Toscana;;3241519088;2014;2014-12-18T19:34:43Z;11.297774;43.0640422
CIVITELLA PAGANICO;GROSSETO;Toscana;;778923761;2010;2010-06-21T07:45:31Z;11.2672005;42.9298586999999
FOLLONICA;GROSSETO;Toscana;;1660834623;2012;2012-03-05T16:40:58Z;10.7710418;42.9154391
FOLLONICA;GROSSETO;Toscana;;1661939497;2012;2012-03-06T07:09:28Z;10.7734612;42.9122587999999
FOLLONICA;GROSSETO;Toscana;;1665516780;2012;2012-03-08T07:34:34Z;10.7571558;42.9301096
FOLLONICA;GROSSETO;Toscana;;1665516781;2014;2014-05-25T02:41:01Z;10.7566415;42.9307953
FOLLONICA;GROSSETO;Toscana;;2433587680;2014;2014-08-29T02:07:15Z;10.7547043;42.9223714
FOLLONICA;GROSSETO;Toscana;;2435099041;2013;2013-08-28T11:05:53Z;10.762252;42.9282893999999
FOLLONICA;GROSSETO;Toscana;;2435112687;2013;2013-08-28T11:22:03Z;10.7597144;42.9277469
FOLLONICA;GROSSETO;Toscana;;2437986670;2013;2013-08-29T21:10:57Z;10.7456654999999;42.9273585999999
FOLLONICA;GROSSETO;Toscana;;2485003130;2013;2013-10-06T13:32:29Z;10.7710782;42.9216267999999
FOLLONICA;GROSSETO;Toscana;;2615076571;2014;2014-05-31T20:35:03Z;10.7260624;42.935561
FOLLONICA;GROSSETO;Toscana;;2875159134;2014;2014-05-22T20:51:22Z;10.770807;42.9208155999999
FOLLONICA;GROSSETO;Toscana;;2879871807;2014;2014-05-25T13:06:30Z;10.7741861;42.9237831
FOLLONICA;GROSSETO;Toscana;;2912229688;2014;2014-06-12T01:14:44Z;10.7324877999999;42.9327547999999
FOLLONICA;GROSSETO;Toscana;;2912230035;2014;2014-06-12T01:14:46Z;10.7309367;42.9335832
FOLLONICA;GROSSETO;Toscana;;2912236759;2014;2014-06-12T01:30:10Z;10.7314861;42.9333056999999
FOLLONICA;GROSSETO;Toscana;;2912238996;2014;2014-06-12T01:50:10Z;10.7414799999999;42.9287088
FOLLONICA;GROSSETO;Toscana;;2912239102;2014;2014-06-12T01:50:11Z;10.7421003;42.9292122
FOLLONICA;GROSSETO;Toscana;;2912239103;2014;2014-06-12T01:50:11Z;10.7418917;42.9292871999999
FOLLONICA;GROSSETO;Toscana;;2912239112;2014;2014-06-12T01:50:11Z;10.7426268999999;42.9299328999999
FOLLONICA;GROSSETO;Toscana;;2973977260;2014;2014-07-22T06:34:59Z;10.772906;42.9250718999999
FOLLONICA;GROSSETO;Toscana;;3281301726;2015;2015-01-10T23:59:20Z;10.7124726;42.9453571
FOLLONICA;GROSSETO;Toscana;;344543770;2015;2015-02-09T02:33:21Z;10.7552862;42.9222512999999
FOLLONICA;GROSSETO;Toscana;;358165104;2014;2014-06-12T01:50:12Z;10.7424097;42.9300142
FOLLONICA;GROSSETO;Toscana;Ex Ilva 1;344977453;2015;2015-11-23T19:39:31Z;10.7611443999999;42.9232704
FOLLONICA;GROSSETO;Toscana;Ex Ilva 2;2991576593;2015;2015-11-23T19:39:31Z;10.7626965;42.9237056999999
FOLLONICA;GROSSETO;Toscana;Piazza della Cartiera;2768823845;2015;2015-11-23T23:20:54Z;10.7604279;42.91957
GAVORRANO;GROSSETO;Toscana;;1655747290;2012;2012-03-02T09:55:07Z;10.8925635;42.9333997
GAVORRANO;GROSSETO;Toscana;;1657310786;2012;2012-03-03T10:39:47Z;10.8922294;42.9413127999999
GAVORRANO;GROSSETO;Toscana;;3680134225;2015;2015-08-04T09:55:34Z;10.927766;42.8936469
GAVORRANO;GROSSETO;Toscana;;3680134226;2015;2015-08-04T09:56:02Z;10.9251106;42.8943385999999
GAVORRANO;GROSSETO;Toscana;;3680134959;2015;2015-08-04T09:55:54Z;10.9233081999999;42.8938277
GAVORRANO;GROSSETO;Toscana;;3680134960;2015;2015-08-04T09:56:41Z;10.9185499;42.8915207
GAVORRANO;GROSSETO;Toscana;;3680134961;2015;2015-08-04T09:56:41Z;10.9194887;42.8920474
GAVORRANO;GROSSETO;Toscana;;3830693066;2015;2015-12-02T02:15:38Z;10.9101897999999;42.9154704999999
GAVORRANO;GROSSETO;Toscana;;802040206;2015;2015-11-11T14:43:39Z;10.9275544;42.8951995999999
GAVORRANO;GROSSETO;Toscana;Piazza dello Stadio;1654125209;2012;2012-03-01T09:00:47Z;10.8897875;42.9402966
GAVORRANO;GROSSETO;Toscana;Piazza del parco;1654127423;2012;2012-03-01T09:05:16Z;10.8902489;42.9401119999999
GAVORRANO;GROSSETO;Toscana;Piazza del Popolo;1655763403;2012;2012-03-02T10:06:30Z;10.888941;42.9369477999999
GAVORRANO;GROSSETO;Toscana;Piazza Leonardo da Vinci;1655727306;2012;2012-03-02T09:38:24Z;10.8908776;42.9344518999999
GAVORRANO;GROSSETO;Toscana;Piazza Palmiro Togliatti;1654135678;2012;2012-03-01T09:17:10Z;10.8864911;42.9388494
GAVORRANO;GROSSETO;Toscana;Via Fratelli Cervi;1657304168;2012;2012-03-03T10:28:26Z;10.8887076999999;42.9394101
GAVORRANO;GROSSETO;Toscana;Via Mameli;1655763386;2012;2012-03-02T10:06:29Z;10.8884609;42.9369674
GROSSETO;GROSSETO;Toscana;;1384480490;2011;2011-08-03T13:59:21Z;11.1904506;42.7818710999999
GROSSETO;GROSSETO;Toscana;;1385281100;2011;2011-08-03T21:36:25Z;11.1129522;42.758476
GROSSETO;GROSSETO;Toscana;;1385281107;2011;2011-08-03T21:36:25Z;11.1153745;42.7587137
GROSSETO;GROSSETO;Toscana;;1385281159;2014;2014-12-02T15:17:02Z;11.1179764999999;42.7602295
